a1   0.0  0.1  0.2  0.3  0.4  0.5  0.6  0.7  0.8  0.9  1.0  a2   0.0  0.1  0.2  0.3  0.4  0.5  0.6  0.7  0.8  0.9  1.0  a3   0.0  0.1  0.2  0.3  0.4  0.5  0.6  0.7  0.8  0.9  1.0  
15  nan  nan   26  nan  nan  nan  nan  nan   4   nan  nan   10  nan  nan   3   nan  nan  nan  nan  nan   9   nan  nan   4   nan  nan   19  nan  nan  nan  nan  nan   21  nan  nan  nan   61600000  428000    4690000   
12  nan  nan  nan  nan  nan   5   nan  nan  nan  nan  nan   4   nan   45  nan  nan  nan   2   nan  nan  nan  nan  nan   9   nan   6   nan  nan  nan   6   nan  nan  nan  nan  nan  nan   3510000   636000    472000    
0   nan  nan   50  nan   7   nan  nan  nan  nan  nan  nan   6   nan  nan   57  nan   1   nan  nan  nan  nan  nan  nan   18  nan  nan   52  nan   3   nan  nan  nan  nan  nan  nan  nan   12400     18400     27300     
6   nan  nan   22  nan  nan  nan  nan  nan  nan  nan  nan   19  nan  nan   19  nan  nan  nan  nan  nan  nan  nan  nan   20  nan  nan   26  nan  nan  nan  nan  nan  nan  nan  nan  nan   210000    75000     174000    
12  nan  nan   16  nan  nan  nan  nan  nan   10  nan  nan   22  nan  nan   23  nan  nan  nan  nan  nan   33  nan  nan   7   nan  nan   11  nan  nan  nan  nan  nan   4   nan  nan  nan   16100     43500     20100     
16  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan   4    29  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan   1    16  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan   3    1    14100     8220      15400     
0   nan  nan   2   nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan   8   nan  nan  nan  nan  nan   1   nan  nan   2   nan  nan   13  nan  nan  nan  nan  nan   1   nan  nan  nan   1900      21800     5120      
6   nan   13  nan  nan   6    22  nan  nan  nan  nan  nan   10  nan   12  nan  nan   5    17  nan  nan  nan  nan  nan   5   nan   9   nan  nan   7    19  nan  nan  nan  nan  nan  nan   36500     38500     26600     
3   nan  nan   28   8   nan   37  nan  nan  nan  nan  nan   6   nan  nan   20   4   nan   16  nan  nan  nan  nan  nan   5   nan  nan   19   3   nan   17  nan  nan  nan  nan  nan   1    53200     81300     52200     
12  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan   7   nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan   22  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan   2   nan   20700     65600     109000    
5   nan   11  nan  nan  nan  nan  nan  nan   2   nan  nan   7   nan   7   nan  nan  nan  nan  nan  nan   1   nan  nan   25  nan   22  nan  nan  nan  nan  nan  nan   4   nan  nan  nan   727000    290000    1690000   
5   nan  nan  nan   9   nan  nan  nan   1   nan  nan  nan   4   nan  nan  nan   20  nan  nan  nan   3   nan  nan  nan   3   nan  nan  nan   7   nan  nan  nan   1   nan  nan  nan  nan   46300000  48500000  12300000  
2   nan  nan  nan  nan   23  nan   2   nan  nan  nan  nan   24  nan  nan  nan  nan   14  nan   4   nan  nan  nan  nan  nan  nan  nan  nan  nan   16  nan   4   nan  nan  nan  nan  nan   484000    404000    685000    
23  nan  nan  nan  nan  nan  nan   3   nan  nan  nan  nan   13  nan  nan  nan  nan  nan  nan   5   nan  nan  nan  nan   18  nan  nan  nan  nan  nan  nan   3   nan  nan  nan  nan  nan   248000    4550      229000    
0   nan  nan  nan  nan  nan  nan  nan   26  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan   20  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan   2   nan  nan  nan  nan   5770      1660      75        
24  nan  nan  nan  nan   1   nan   1   nan  nan  nan  nan   1   nan  nan  nan  nan  nan  nan   11  nan  nan  nan  nan   16  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan   276000    1540000   607000    
26  nan   14  nan  nan  nan  nan  nan  nan  nan   14  nan   16  nan   15  nan  nan  nan  nan  nan  nan  nan   15  nan   14  nan   8   nan  nan  nan  nan  nan  nan  nan   15  nan   1    279000    335000    277000     
0   nan   7   nan  nan  nan  nan  nan  nan   6   nan  nan   7   nan   2   nan  nan  nan  nan  nan  nan   20  nan  nan   5   nan   2   nan  nan  nan  nan  nan  nan   8   nan  nan  nan   7590      286       10100     
5   nan   6    15  nan   22  nan  nan  nan  nan  nan  nan  nan  nan   2    10  nan   19  nan  nan  nan  nan  nan  nan   3   nan   4    12  nan   26  nan  nan  nan  nan  nan  nan  nan   3830000   91000     3750000   
13  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan   15   10  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan   3   nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan   15  nan   470000    1300000   65900     
8   nan  nan   20  nan  nan  nan  nan  nan   21  nan  nan   20  nan  nan  nan  nan  nan  nan  nan  nan   27  nan  nan   9   nan  nan   18  nan  nan  nan  nan  nan   18  nan  nan   1    768000    38100     2220000   
